CD,T2-LLT-1156.3kg-x0.5m, , 
  0.009056252,     0.2332148, , 
  0.009262474,     0.2420318, , 
  0.009474947,     0.2508476, , 
  0.009693492,     0.2596628, , 
  0.009918543,     0.2684761, , 
   0.01014974,      0.277289, , 
   0.01038741,     0.2861002, , 
    0.0106315,     0.2949097, , 
   0.01088168,     0.3037186, , 
   0.01113852,     0.3125249, , 
   0.01140165,     0.3213298, , 
     0.011671,     0.3301338, , 
   0.01194691,     0.3389354, , 
    0.0122293,     0.3477352, , 
   0.01251799,     0.3565339, , 
   0.01281141,     0.3653759, , 
   0.01311455,     0.3741347, , 
    0.0134213,     0.3829648, , 
   0.01373726,     0.3917193, , 
   0.01405684,     0.4005454, , 
   0.01438614,     0.4092946, , 
   0.01471865,     0.4181164, , 
   0.01506084,     0.4268623, , 
   0.01540622,     0.4356803, , 
   0.01576159,     0.4444218, , 
   0.01612004,      0.453235, , 
   0.01648855,     0.4619721, , 
   0.01685998,     0.4707808, , 
   0.01724151,      0.479514, , 
   0.01762598,     0.4883177, , 
   0.01802067,     0.4970462, , 
   0.01841826,     0.5058443, , 
   0.01882368,     0.5146124, , 
    0.0192359,     0.5233721, , 
   0.01965474,     0.5321278, , 
   0.02008018,     0.5408803, , 
   0.02051228,     0.5496293, , 
   0.02095081,      0.558376, , 
   0.02139578,     0.5671206, , 
   0.02184723,     0.5758629, , 
   0.02230529,     0.5846019, , 
   0.02276992,      0.593338, , 
   0.02324114,     0.6020707, , 
   0.02371879,      0.610801, , 
   0.02420293,     0.6195288, , 
   0.02469351,     0.6282543, , 
   0.02519066,     0.6369764, , 
   0.02569423,     0.6456959, , 
   0.02620439,     0.6544118, , 
   0.02672101,     0.6631247, , 
   0.02724404,     0.6718348, , 
   0.02777357,     0.6805411, , 
    0.0283101,     0.6892374, , 
   0.02885582,     0.6978932, , 
   0.02941703,      0.706421, , 
   0.02998481,     0.7149387, , 
   0.03056282,     0.7233949, , 
    0.0311505,     0.7317961, , 
   0.03174728,      0.740145, , 
   0.03234836,     0.7485114, , 
   0.03295603,     0.7568652, , 
    0.0335724,     0.7651723, , 
   0.03419608,       0.77345, , 
   0.03482439,     0.7817389, , 
   0.03545818,     0.7900255, , 
    0.0361007,     0.7982629, , 
   0.03674846,     0.8064993, , 
   0.03739965,      0.814764, , 
   0.03805904,     0.8229862, , 
   0.03872267,     0.8312238, , 
   0.03939107,     0.8394651, , 
   0.04007249,     0.8476015, , 
   0.04075491,     0.8557869, , 
   0.04143834,     0.8640139, , 
   0.04213255,     0.8721613, , 
   0.04283259,     0.8803249, , 
   0.04353674,     0.8884891, , 
   0.04424599,     0.8966471, , 
   0.04495671,     0.9048347, , 
   0.04567972,      0.912948, , 
   0.04640102,     0.9211312, , 
   0.04713491,     0.9292275, , 
   0.04786704,     0.9373895, , 
    0.0486078,     0.9455031, , 
   0.04935661,     0.9536053, , 
   0.05010486,     0.9617405, , 
   0.05086165,     0.9698235, , 
   0.05162344,     0.9779095, , 
   0.05238965,         0.986, , 
   0.05316245,     0.9940532, , 
   0.05394081,       1.00209, , 
   0.05472311,      1.010136, , 
   0.05551007,      1.018184, , 
   0.05630237,      1.026223, , 
   0.05710098,      1.034215, , 
   0.05790342,      1.042224, , 
   0.05871073,      1.050229, , 
   0.05952343,      1.058205, , 
   0.06034179,      1.066153, , 
   0.06116447,      1.074103, , 
   0.06199149,      1.082052, , 
   0.06282348,      1.089986, , 
   0.06366047,      1.097901, , 
   0.06450226,      1.105799, , 
   0.06534416,      1.113712, , 
   0.06619921,      1.121546, , 
   0.06705529,      1.129408, , 
   0.06791521,      1.137266, , 
   0.06877534,      1.145123, , 
   0.06964355,      1.152926, , 
   0.07052263,       1.16065, , 
   0.07139694,      1.168443, , 
   0.07227755,      1.176225, , 
   0.07316347,      1.183978, , 
   0.07405924,      1.191657, , 

