Alpha,T2-LLT-1156.3kg-x0.5m, , 
          0.6,      25.75181, , 
          0.7,      26.13036, , 
          0.8,      26.47483, , 
          0.9,      26.78733, , 
            1,       27.0681, , 
          1.1,      27.31982, , 
          1.2,      27.54296, , 
          1.3,      27.73922, , 
          1.4,        27.911, , 
          1.5,      28.05802, , 
          1.6,      28.18274, , 
          1.7,      28.28668, , 
          1.8,      28.37013, , 
          1.9,      28.43459, , 
            2,      28.48172, , 
          2.1,      28.51956, , 
          2.2,      28.52821, , 
          2.3,      28.53411, , 
          2.4,      28.51509, , 
          2.5,      28.49469, , 
          2.6,      28.45062, , 
          2.7,      28.40725, , 
          2.8,      28.34253, , 
          2.9,      28.27951, , 
            3,      28.19652, , 
          3.1,      28.11624, , 
          3.2,      28.01776, , 
          3.3,      27.92298, , 
          3.4,      27.81161, , 
          3.5,      27.70443, , 
          3.6,        27.582, , 
          3.7,      27.46429, , 
          3.8,      27.33856, , 
          3.9,      27.20809, , 
            4,      27.07377, , 
          4.1,      26.93602, , 
          4.2,      26.79514, , 
          4.3,      26.65176, , 
          4.4,      26.50619, , 
          4.5,      26.35863, , 
          4.6,      26.20911, , 
          4.7,      26.05798, , 
          4.8,      25.90538, , 
          4.9,      25.75177, , 
            5,      25.59726, , 
          5.1,      25.44208, , 
          5.2,      25.28621, , 
          5.3,      25.12999, , 
          5.4,      24.97336, , 
          5.5,      24.81661, , 
          5.6,      24.65988, , 
          5.7,      24.50319, , 
          5.8,      24.34599, , 
          5.9,      24.18552, , 
            6,      24.01402, , 
          6.1,      23.84336, , 
          6.2,      23.66911, , 
          6.3,      23.49228, , 
          6.4,      23.31365, , 
          6.5,      23.13908, , 
          6.6,      22.96591, , 
          6.7,       22.7917, , 
          6.8,      22.61809, , 
          6.9,      22.44803, , 
            7,      22.28048, , 
          7.1,      22.11212, , 
          7.2,      21.94648, , 
          7.3,      21.78534, , 
          7.4,      21.62393, , 
          7.5,      21.46608, , 
          7.6,      21.31105, , 
          7.7,       21.1517, , 
          7.8,      20.99837, , 
          7.9,      20.85059, , 
            8,      20.70042, , 
          8.1,      20.55269, , 
          8.2,       20.4078, , 
          8.3,      20.26505, , 
          8.4,       20.1268, , 
          8.5,      19.98585, , 
          8.6,      19.85153, , 
          8.7,      19.71421, , 
          8.8,      19.58319, , 
          8.9,      19.45167, , 
            9,      19.32072, , 
          9.1,      19.19456, , 
          9.2,      19.06787, , 
          9.3,      18.94313, , 
          9.4,      18.82051, , 
          9.5,      18.69841, , 
          9.6,      18.57758, , 
          9.7,      18.45905, , 
          9.8,      18.34234, , 
          9.9,      18.22699, , 
           10,      18.11203, , 
         10.1,      17.99935, , 
         10.2,      17.88819, , 
         10.3,      17.77796, , 
         10.4,      17.66857, , 
         10.5,      17.56091, , 
         10.6,      17.45485, , 
         10.7,      17.34998, , 
         10.8,       17.2462, , 
         10.9,      17.14356, , 
           11,      17.04378, , 
         11.1,      16.94199, , 
         11.2,      16.84294, , 
         11.3,      16.74539, , 
         11.4,       16.6502, , 
         11.5,      16.55468, , 
         11.6,      16.45783, , 
         11.7,      16.36545, , 
         11.8,      16.27373, , 
         11.9,      16.18264, , 
           12,       16.0906, , 

