 Alpha,T2-LLT-1156.3kg-x0.5m, , 
1.3,0.236427, , 
1.4,0.2452427, , 
1.5,0.2540575, , 
1.6,0.2628714, , 
1.7,0.2716836, , 
1.8,0.2804952, , 
1.9,0.2893044, , 
2,0.2981127, , 
2.1,0.3069199, , 
2.2,0.3157248, , 
2.3,0.3245286, , 
2.4,0.3333314, , 
2.5,0.3421312, , 
2.6,0.3509296, , 
2.7,0.3597271, , 
2.8,0.3685224, , 
2.9,0.3773149, , 
3,0.3861512, , 
3.1,0.3949059, , 
3.2,0.4036852, , 
3.3,0.4125132, , 
3.4,0.4212612, , 
3.5,0.4300797, , 
3.6,0.4388222, , 
3.7,0.4476354, , 
3.8,0.4563732, , 
3.9,0.4651822, , 
4,0.4739157, , 
4.1,0.4827203, , 
4.2,0.4914489, , 
4.3,0.5002481, , 
4.4,0.5089715, , 
4.5,0.5177661, , 
4.6,0.5265301, , 
4.7,0.5352402, , 
4.8,0.5440252, , 
4.9,0.5527802, , 
5,0.5615269, , 
5.1,0.5702699, , 
5.2,0.5790099, , 
5.3,0.5877468, , 
5.4,0.5964807, , 
5.5,0.6052117, , 
5.6,0.6139404, , 
5.7,0.6226665, , 
5.8,0.6313895, , 
5.9,0.6401093, , 
6,0.6488261, , 
6.1,0.657532, , 
6.2,0.6662149, , 
6.3,0.6748655, , 
6.4,0.6834409, , 
6.5,0.6919665, , 
6.6,0.7004871, , 
6.7,0.7089495, , 
6.8,0.7173987, , 
6.9,0.7258163, , 
7,0.7342399, , 
7.1,0.7426375, , 
7.2,0.7509721, , 
7.3,0.7592983, , 
7.4,0.7676344, , 
7.5,0.7759543, , 
7.6,0.7842525, , 
7.7,0.7925374, , 
7.8,0.8008081, , 
7.9,0.8090671, , 
8,0.8173412, , 
8.1,0.8255589, , 
8.2,0.8337997, , 
8.3,0.8420297, , 
8.4,0.8502503, , 
8.5,0.858449, , 
8.6,0.8666783, , 
8.7,0.8748331, , 
8.8,0.8829938, , 
8.9,0.8911997, , 
9,0.8993075, , 
9.1,0.907489, , 
9.2,0.9156203, , 
9.3,0.9237224, , 
9.4,0.931878, , 
9.5,0.9400455, , 
9.6,0.9481216, , 
9.7,0.9562601, , 
9.8,0.9643328, , 
9.9,0.9724479, , 
10,0.9805077, , 
10.1,0.9886158, , 
10.2,0.9966681, , 
10.3,1.004761, , 
10.4,1.012795, , 
10.5,1.020839, , 
10.6,1.02887, , 
10.7,1.036865, , 
10.8,1.044825, , 
10.9,1.052809, , 
11,1.060796, , 
11.1,1.068737, , 
11.2,1.076677, , 
11.3,1.084593, , 
11.4,1.092509, , 
11.5,1.100413, , 
11.6,1.108291, , 
11.7,1.116172, , 
11.8,1.12402, , 
11.9,1.131868, , 
12,1.139684, , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
