 Alpha,T1-13.4 m/s-VLM2, , 
-8,0.06406374, , 
-7.9,0.06235106, , 
-7.8,0.06063579, , 
-7.7,0.05891791, , 
-7.6,0.05719742, , 
-7.5,0.05547432, , 
-7.4,0.05374858, , 
-7.3,0.05202037, , 
-7.2,0.05028972, , 
-7.1,0.04855661, , 
-7,0.0468211, , 
-6.9,0.04508321, , 
-6.8,0.04334296, , 
-6.7,0.04160038, , 
-6.6,0.03985547, , 
-6.5,0.03810827, , 
-6.4,0.0363588, , 
-6.3,0.03460707, , 
-6.2,0.03285323, , 
-6.1,0.03109794, , 
-6,0.0293405, , 
-5.9,0.02758091, , 
-5.8,0.02581919, , 
-5.7,0.02405532, , 
-5.6,0.02228936, , 
-5.5,0.02052133, , 
-5.4,0.0187512, , 
-5.3,0.01697903, , 
-5.2,0.01520481, , 
-5.1,0.01342862, , 
-5,0.01165077, , 
-4.9,0.009872123, , 
-4.8,0.008092269, , 
-4.7,0.006310949, , 
-4.6,0.004528055, , 
-4.5,0.00274355, , 
-4.4,0.00095739, , 
-4.3,-0.00083046, , 
-4.2,-0.002619956, , 
-4.1,-0.00441115, , 
-4,-0.006203962, , 
-3.9,-0.007998453, , 
-3.8,-0.009794518, , 
-3.7,-0.01159197, , 
-3.6,-0.01339082, , 
-3.5,-0.01519111, , 
-3.4,-0.01699281, , 
-3.3,-0.01879593, , 
-3.2,-0.0206005, , 
-3.1,-0.0224065, , 
-3,-0.02421393, , 
-2.9,-0.02602278, , 
-2.8,-0.02783298, , 
-2.7,-0.02964457, , 
-2.6,-0.03145752, , 
-2.5,-0.03327185, , 
-2.4,-0.03508753, , 
-2.3,-0.03690462, , 
-2.2,-0.03872303, , 
-2.1,-0.04054274, , 
-2,-0.04236376, , 
-1.9,-0.04418607, , 
-1.8,-0.04600962, , 
-1.7,-0.04783438, , 
-1.6,-0.04966033, , 
-1.5,-0.05148747, , 
-1.4,-0.05331578, , 
-1.3,-0.05514523, , 
-1.2,-0.05697579, , 
-1.1,-0.05880743, , 
-1,-0.06064015, , 
-0.9,-0.06247394, , 
-0.8,-0.06430875, , 
-0.7,-0.0661446, , 
-0.6,-0.06798139, , 
-0.5,-0.06981903, , 
-0.4,-0.07165754, , 
-0.3,-0.07349686, , 
-0.2,-0.07533702, , 
-0.1,-0.07717799, , 
0,-0.07901976, , 
0.1,-0.08086237, , 
0.2,-0.08270606, , 
0.3,-0.08455085, , 
0.4,-0.08639656, , 
0.5,-0.08824311, , 
0.6,-0.09009038, , 
0.7,-0.09193842, , 
0.8,-0.09378721, , 
0.9,-0.09563668, , 
1,-0.09748682, , 
1.1,-0.09933757, , 
1.2,-0.1011889, , 
1.3,-0.1030409, , 
1.4,-0.1048936, , 
1.5,-0.1067468, , 
1.6,-0.1086005, , 
1.7,-0.1104547, , 
1.8,-0.1123094, , 
